customer_code,Sub_Type_V2,revenue
ALST1050,LIN,310.4
ALST1050,LSSL,655.2
ALST1050,LT,4800
ALST1050,MNFD,1707.6
ALST1050,OALT,1026
ALST1050,OVEN,151.84
ALST1050,PBS,1552
ALST1050,PHD,64.22
ALST1050,RFG,543.16
ALST1050,RSDD,228.75
ALST1050,SBL,7082.54
ALST1050,SL.1,6510.85
ALST1050,STGR,116.82
ALST1050,TBK,1097.37
ALST1050,TEL,2457
ALST1050,TPB,1219.71
ALST1050,TRPN,7710
ALST1050,URN,22
ALST1050,VCWD,400.4
ALST1050,WARM,129.84
ALST1050,WSTE,3380.99
amco1015,ABL,5615.04
amco1015,CHB,395.04
amco1015,DSAW.1,57.98
amco1015,EXFA,464.4
amco1015,FLO,369
amco1015,FST,147
amco1015,GDK,118.44
amco1015,GEN,214.05
amco1015,GEN.1,167.16
amco1015,KB,49997.86
amco1015,PHD,182
amco1015,PUSM,213.05
amco1015,PUSU,37.97
amco1015,SAFL,60.13
amco1015,SBL,2655.48
amco1015,SL.1,38598.9
amco1015,TPB,107.8
amco1015,TREQ,299.8
amco1015,TW,9747.72
amco1015,VCWD,676.78
amco1015,VM ,149.28
amco1015,WTRB,964.8
amms8000,ABL,1105
amms8000,BRDR,2222.64
amms8000,CMXR,681.6
amms8000,CNR,315
amms8000,DRMB,2989.08
amms8000,FFI,452.88
amms8000,FGF,102
amms8000,GEN,331.3
amms8000,GEN.1,7780
amms8000,KB,6800
amms8000,QUE.1,640.09
amms8000,SFTY,568.4
amms8000,WSTE,1001
AMPC3908,BRDR,58.05
AMPC3908,DLV,134.56
AMPC3908,DSAW.1,639.21
AMPC3908,GEN,179.92
AMPC3908,GEN.1.1,1436.27
AMPC3908,GPL,87.15
AMPC3908,KB,390.48
AMPC3908,LT,510.6
AMPC3908,SAWC,423.36
AMPC3908,SL.1,2581.58
AMPC3908,VMH,614.95
ANSA7727,ABL,3234.27
ANSA7727,ABO,2.5
ANSA7727,AIRC,31.5
ANSA7727,CNR,4779
ANSA7727,GEN,145.95
ANSA7727,GEN.1,11517.78
ANSA7727,LT,8744.01
ANSA7727,OVEN,2.31
ANSA7727,PBS,3569.09
ANSA7727,RFG,20.32
ANSA7727,SSRT,452.53
ANSA7727,TM,208.58
ANSA7727,TPB,4734.13
ANSA7727,TRBC,81.26
ANSA7727,URN,33
ANSA7727,WSTE,2194.28
ANSA7727,WTRT,864.28
apbp6000,BRDR,1757.65
apbp6000,CMWR,2019.38
apbp6000,CNBF,116.34
apbp6000,CNCS,150.3
apbp6000,CNR,760
apbp6000,DRMB,838.8
apbp6000,DUNI,3697.79
apbp6000,EXFA,284.44
apbp6000,FLPS,345.03
apbp6000,GEN,85.49
apbp6000,GEN.1,34682.7
apbp6000,KB,11000
apbp6000,LT,6792.77
apbp6000,MCFA,3213.94
apbp6000,PUSM,1226.94
apbp6000,SL,2455.2
apbp6000,SL.1,15021.15
apbp6000,SPHE,548.66
apbp6000,TRBC,116.36
apbp6000,VBFX,2960.43
apbp6000,VCWD,540
apbp6000,WLCS,170.51
apbp6000,WTRB,1263.78
APLU6999,BRDR,194.55
APLU6999,CSET,2635.2
APLU6999,CUU,211.6
APLU6999,DG7,447.3
APLU6999,DSAW.1,487.32
APLU6999,DUNI,181.5
APLU6999,EXFA,1074.09
APLU6999,GEN.1,404.94
APLU6999,KB,2884.73
APLU6999,MCFA,22.74
APLU6999,MILD,810.46
APLU6999,OVA,164
APLU6999,PRK,4501.81
APLU6999,PUSM,207.15
APLU6999,PUSU,186.4
APLU6999,RCS,4736.49
APLU6999,RPSD,11422.2
APLU6999,RSSD,4080.89
APLU6999,SBL,209.62
APLU6999,SL.1,65031.27
APLU6999,TRTI,660
APLU6999,TW,45728.49
APLU6999,VMH,439.25
APLU6999,VSPP,53.66
APLU6999,VTP,1254.4
APTM6001,AOBR,55.76
APTM6001,BH,34690.14
APTM6001,CDS,1833.44
APTM6001,CMPR,11767.1
APTM6001,CSET,88.08
APTM6001,DUNI,1140.16
APTM6001,E.1.1,1598.56
APTM6001,GEN.1,1458.6
APTM6001,JIB,509.04
APTM6001,KB,2889.68
APTM6001,MLCH,373.32
APTM6001,PHD,1627.14
APTM6001,PLTT,135
APTM6001,PRK,148.36
APTM6001,PUSM,821.17
APTM6001,RSDD,1260
APTM6001,SSL,308
APTM6001,TEL,593.94
APTM6001,TM,494.29
APTM6001,VBFX,268
APTM6001,YDS,67.88
AQUA6002,BRDR,882.2
AQUA6002,CMPR.1.1,469.49
AQUA6002,CNR,4340.84
AQUA6002,CPW,1592.15
AQUA6002,DSAW.1,1054.73
AQUA6002,DU,698.22
AQUA6002,ELCB,5.66
AQUA6002,EXFA,1354.3
AQUA6002,FLO,483.46
AQUA6002,GEN,2890.72
AQUA6002,IFL,153.15
AQUA6002,MCFA,1800
AQUA6002,MILD,543.68
AQUA6002,PBS,1570.8
AQUA6002,PTB,6175.28
AQUA6002,PUSL,11319.69
AQUA6002,RCS,961.86
AQUA6002,SL,1284.9
AQUA6002,SSL,1250
AQUA6002,TPB,1205.21
AQUA6002,TPG,1519.05
AQUA6002,TRCR,117.98
AQUA6002,TREQ,250
AQUA6002,TRNS,320.04
AQUA6002,TRPN,950.25
AQUA6002,TRTI,148.81
AQUA6002,WTRB,1274.19
AQUA6019,BRDR,581.22
AQUA6019,CDS,404.04
AQUA6019,CMPR,429.09
AQUA6019,CNR,584
AQUA6019,DSAW.1,1083.38
AQUA6019,E.1.1,14965.37
AQUA6019,EF,160
AQUA6019,MILD,1987.78
AQUA6019,MLAG,21.01
AQUA6019,MLK9,604.44
AQUA6019,PC,330.11
AQUA6019,PTB,1008.54
AQUA6019,RCS,1058.59
AQUA6019,SL.1,290.91
AQUA6019,SSL,822.67
AQUA6019,STGR,121.21
AQUA6019,TPB,4634.91
AQUA6019,TREQ,64.65
AQUA6019,VSPP,145.45
AQUA6019,WDMA,258.6
AQUA6026,CNR,387.6
AQUA6026,DUNI,283.15
AQUA6026,EXFA,53.53
AQUA6026,GEN.1,2110.8
AQUA6026,PBS,4097.35
AQUA6026,PUSM,58.55
AQUA6026,RSDD,850
AQUA6026,RTP,760
AQUA6026,TM,3665.55
AQUA6026,TPB,152
AQUA6026,VBFX,275.25
AQUA6026,VBSX,49.29
AQUA6026,WTRB,126.06
AROG8180,AOBR,270.94
AROG8180,BRDR,138.62
AROG8180,CAPS,3312.1
AROG8180,CCY,71
AROG8180,CHSW,350.43
AROG8180,CMPR,555.74
AROG8180,CNR,4756.61
AROG8180,CPHP,71.14
AROG8180,CPW,7832.15
AROG8180,DSAW.1,2420
AROG8180,DUNI,2712.9
AROG8180,E.1,1860.32
AROG8180,E.1.1,8543.37
AROG8180,FKT,200.78
AROG8180,GEN,839.21
AROG8180,GEN.1,13387.16
AROG8180,GEN.1.1,350
AROG8180,GEN.1.1.1,350
AROG8180,IFL,25.2
AROG8180,KB,664.9
AROG8180,LNYD,68.93
AROG8180,OVEN,149
AROG8180,PBS,7184
AROG8180,PHH,8800
AROG8180,PULG,22236.96
AROG8180,PUSL,10743.98
AROG8180,PUSM,4473.69
AROG8180,RCS,660.63
AROG8180,RFG,493.15
AROG8180,RFRC,833.76
AROG8180,RSDD,189
AROG8180,RSSD,2026.16
AROG8180,TPB,12043.74
AROG8180,TPG,261.52
AROG8180,TRFU,141
AROG8180,TRTI,1602.35
AROG8180,WHPR,111.42
AROG8180,WTRB,901.15
ARTT6000,BRDR,451.34
ARTT6000,CNR,1054.34
ARTT6000,CTM,964.85
ARTT6000,DSAW.1,341.17
ARTT6000,DUNI,703.19
ARTT6000,EA,60.18
ARTT6000,GEN,4494.99
ARTT6000,KB,6458.4
ARTT6000,PBS,1386
ARTT6000,PC,4815.29
ARTT6000,PLTT,57.37
ARTT6000,PUSM,688.99
ARTT6000,PUSU,3115.64
ARTT6000,RCD,1187.9
ARTT6000,RCS,3082.82
ARTT6000,RPSD,2783.06
ARTT6000,RSDD,4009.39
ARTT6000,RSSD,1503.04
ARTT6000,SA,45.25
ARTT6000,SBL,3848.6
ARTT6000,SL.1,18670.2
ARTT6000,SSC,271.53
ARTT6000,SSL,15600.26
ARTT6000,TM,198
ARTT6000,VCWD,1479.47
ARTT6000,VSPP,1206.83
ARTT6000,WDMA,1767.33
ARTT6000,WTRB,139.8
ASPE1015,ABO,15.34
ASPE1015,AIRC,93.22
ASPE1015,AOBR,247.17
ASPE1015,BRDR,4344.07
ASPE1015,BRSC,97.42
ASPE1015,CFG,694.89
ASPE1015,CHSW,102.7
ASPE1015,CMPR,726.75
ASPE1015,CMWR,144.68
ASPE1015,CMXR,106.5
ASPE1015,CNR,970.24
ASPE1015,CPTD,37.85
ASPE1015,CSG,563.55
ASPE1015,DSAW.1,1061.51
ASPE1015,DUNI,520.81
ASPE1015,EA,249.71
ASPE1015,EXFA,169.71
ASPE1015,GEN,448.34
ASPE1015,GEN.1,5570.32
ASPE1015,KB,525.09
ASPE1015,LBLW,322.08
ASPE1015,LMWR,123.72
ASPE1015,MILD,646.75
ASPE1015,MLBK,59.64
ASPE1015,OVEN,274.33
ASPE1015,PBS,2671.89
ASPE1015,PC,766.12
ASPE1015,PFFT,642.84
ASPE1015,PLTT,2455.4
ASPE1015,PUSM,670.28
ASPE1015,PUSU,28
ASPE1015,RCS,51.69
ASPE1015,RFG,102.5
ASPE1015,RSDD,2710
ASPE1015,RSSD,6230
ASPE1015,SL.1,5926.92
ASPE1015,SWRA,25.99
ASPE1015,TPB,5452.67
ASPE1015,TRO,3816.45
ASPE1015,TRSC,37.22
ASPE1015,TRTI,436.68
ASPE1015,URN,122.85
ASPE1015,VBFX,36.44
ASPE1015,VCWD,2496
ASPE1015,VMH,503.14
ASPE1015,VSPP,358.38
ASPE1015,WBHD,13.59
ASPE1015,WHPR,169.03
ASPE1015,WTRB,2457.85
ATHA6000,AOBR,195.56
ATHA6000,BRDR,537.82
ATHA6000,CHS,2937.72
ATHA6000,CPHP,75.96
ATHA6000,DG7,171.32
ATHA6000,DRLH,156.76
ATHA6000,DSAW.1,1625.35
ATHA6000,DUNI,1548.05
ATHA6000,E.1.1,16940
ATHA6000,EMV,4200
ATHA6000,FJC,61.41
ATHA6000,GDK,150.18
ATHA6000,GEN,1096.74
ATHA6000,GEN.1,137.37
ATHA6000,GNDR,61.41
ATHA6000,GRAG,29.9
ATHA6000,HYPK,24.24
ATHA6000,IFL,27.15
ATHA6000,LMRK,101.34
ATHA6000,PC,189.1
ATHA6000,PUSM,467.7
ATHA6000,RCS,1396.06
ATHA6000,RSAW,103.43
ATHA6000,TPB,821.89
ATHA6000,TPG,1066.68
ATHA6000,VBFX,108.28
ATHA6000,VBSX,46.06
ATHA6000,WHPR,42
ATHA6000,WTRB,423.53
ATLA2616,BRDR,600.52
ATLA2616,CMPR,19767.41
ATLA2616,DRLC,45.25
ATLA2616,KB,740
ATLA2616,RPSD,5400
ATLA2616,RSSD,2661.83
ATLA2616,SBL,305
ATLA2616,SL.1,2402.14
ATLA2616,SPHE,96.56
ATLA2616,VAN,174.55
ATLA2616,WBRS,155.16
ATLA2616,WDMA,100
ATLA2616,WTRB,2676.24
ATSA8257,ABL,10262.84
ATSA8257,AOBR,7853.36
ATSA8257,BA,1078.2
ATSA8257,BRDR,531.68
ATSA8257,CMPR,14690.56
ATSA8257,CNR,954.8
ATSA8257,DSAW.1,984
ATSA8257,E.1.1,2800
ATSA8257,EA,58.5
ATSA8257,FLST,264.93
ATSA8257,GEN,541.98
ATSA8257,GEN.1,1677.51
ATSA8257,HH.1,1273.9
ATSA8257,KB,2833
ATSA8257,OXYS,181.65
ATSA8257,PFFT,1281.6
ATSA8257,PLTT,254.56
ATSA8257,SBL,34618
ATSA8257,SL.1,320
ATSA8257,SSL,6662.2
ATSA8257,TPB,229.5
ATSA8257,TRTI,468.78
ATSA8257,WHPR,541.32
ATSA8257,WSTE,2886.4
AUST1014,ABL,4056
AUST1014,AOBR,1127.97
AUST1014,CMPR,2132.98
AUST1014,DUNI,44.87
AUST1014,FLO,741.88
AUST1014,GEN,1006.88
AUST1014,GEN.1,442.82
AUST1014,KB,17955.59
AUST1014,MILD,213.42
AUST1014,MLBK,50.49
AUST1014,PUSM,41.12
AUST1014,PUSU,1353.72
AUST1014,SBL,2870.96
AUST1014,SL.1,20113.54
AUST1014,TRFU,50
AUST1014,VM ,7360
AUST1014,WSTE,3120
AUST1053,ABL,2136.96
AUST1053,BRSC,55.22
AUST1053,CHEP,93.53
AUST1053,CMPR,9394.99
AUST1053,CPHP,170.73
AUST1053,DSAW.1,268.71
AUST1053,DSSW,238.91
AUST1053,DUNI,968.7
AUST1053,E.1,1143.74
AUST1053,E.1.1,6901.16
AUST1053,GEN,2235.2
AUST1053,GEN.1,3123.2
AUST1053,GEN.1.1,12542.88
AUST1053,GPC,92.66
AUST1053,HH.1,1799.67
AUST1053,KB,4776.28
AUST1053,LT,3897.9
AUST1053,PULG,11548.28
AUST1053,PUSL,456
AUST1053,PUSM,285.11
AUST1053,RSSD,3169.46
AUST1053,SBL,1945.28
AUST1053,SSL,34906.94
AUST1053,TRNS,86.4
AUST1053,TRTI,759
AUST1053,UTE,3821.65
AUST1053,WDMA,647.85
AUST1053,WHPR,44.57
AUST2484,AOBR,848.48
AUST2484,BRDR,1987.68
AUST2484,CMPR,2452.63
AUST2484,CNKB,3279.02
AUST2484,CSK,605.22
AUST2484,DRLH,72.56
AUST2484,DSAW.1,1007.95
AUST2484,DUNI,56.85
AUST2484,E.1.1,2719.58
AUST2484,HH.1,205.25
AUST2484,KB,5656.52
AUST2484,SL.1,378.42
AUST2484,VBFX,54.14
AUST2484,VSPP,4342.34
AUST2484,WDMA,367.92
AUST2484,WLDR,453.33
AUST2484,WTRB,654.89
AUST6060,CMLN,121.22
AUST6060,CPHP,151.92
AUST6060,GEN,80.61
AUST6060,GPC,100.2
AUST6060,KB,4234.71
AUST6060,LHC,65.45
AUST6060,MILD,3231.41
AUST6060,SL.1,2695.31
AUST6060,TREQ,123.63
AUST6060,WHPR,119.6
AUST6060,WL,1256.55
AUST6064,CMPR,906.11
AUST6064,CNR,744
AUST6064,DLV,137.37
AUST6064,E.1,9594
AUST6064,GL7,420.2
AUST6064,PBS,3120
AUST6064,PC,64.65
AUST6064,RPSD,2800
AUST6064,TPB,1339.4
AUST6064,TRTI,363.64
AUST6064,WC,7200
AUST6064,WLDR,215
AUST6210,DUNI,731
AUST6210,GEN.1,253.12
AUST6210,GEN.1.1,17010
AUST6210,MILD,266
AUST6210,PUSM,576.94
AUST6210,SAFL,408.1
AUST6210,SFLE,270.7
AUST6210,SL.1,2049.28
AUST6210,TRBC,54.14
AUST6210,VBFX,510
AVES6000,FKT,960
AVES6000,MILD,1121.35
AVES6000,MLBK,336.4
AVES6000,MLPD,336.4
AVES6000,MLTC,336.4
AVES6000,MLTR,336.4
AVES6000,MSB,8400.16
AVES6000,SL.1,1494
AVES6000,TM,2060
AVES6000,TRBC,200
AVES6000,TREQ,336.4
AVOP1300,AOBR,249.62
